tileswide 10
tileshigh 10
tilewidth 32
tileheight 32

layer 0
0,0,0,0,0,3,8,8,8,8,
0,0,0,11,5,4,10,9,2,8,
0,0,11,4,8,8,7,0,3,8,
8,8,8,22,15,16,6,13,3,8,
8,8,22,23,14,24,16,6,4,8,
8,22,23,14,14,14,24,15,16,8,
12,20,26,25,19,26,14,25,18,8,
0,0,21,24,15,23,25,18,8,8,
0,0,20,19,19,19,18,8,8,8,
8,8,8,8,8,8,8,8,8,8,

layer 1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,27,27,27,-1,-1,-1,-1,
-1,-1,27,-1,27,-1,27,-1,-1,-1,
-1,-1,27,-1,-1,-1,-1,27,-1,-1,
-1,-1,-1,27,-1,27,27,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,

